,Drop Off Location,Stake,Route Information,Time Spent,Total Adult Volunteers,Total Youth Volunteers,Number of Doors,Number of Donation Bags,Number of Routes,Ward,Year,Latitude,Longitude
134,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 106,45,2.0,0.0,104.0,13.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
135,Gateway Stake Centre ,Gateway Stake,Route 56,15,1.0,0.0,135.0,17.0,1.0,Rio Vista Ward,2024,53.4344,-113.5733
136,Gateway Stake Centre ,Gateway Stake,Route 7,45,3.0,2.0,168.0,20.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
137,Bearspaw Chapel,Bonnie Doon Stake,Route M1,45,2.0,0.0,143.0,20.0,1.0,Southgate Ward,2024,53.4772,-113.5193
138,Londonberry Chapel,Bonnie Doon Stake,Route 5,45,2.0,2.0,17.0,17.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
139,Gateway Stake Centre ,Gateway Stake,Route 39,15,2.0,0.0,110.0,50.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
140,Edmonton North Stake Centre,Edmonton North Stake,Route Unknown,15,1.0,0.0,1.0,1.0,1.0,Griesbach Ward,2024,53.606808,-113.504229
141,Riverbend Stake Centre,Riverbend Stake,Route 3,45,4.0,0.0,150.0,17.0,1.0,Greenfield Ward,2024,53.471073,-113.527505
142,Gateway Stake Centre ,Gateway Stake,Route 24,15,3.0,1.0,170.0,9.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
143,Bearspaw Chapel,Gateway Stake,Route 7,45,2.0,2.0,30.0,40.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
144,Gateway Stake Centre ,Gateway Stake,Route 42,15,4.0,1.0,80.0,31.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
145,Gateway Stake Centre ,Gateway Stake,Route 33,15,2.0,3.0,35.0,6.0,1.0,Rio Vista Ward,2024,53.4344,-113.5733
146,Bearspaw Chapel,Gateway Stake,Route 4,90,2.0,0.0,142.0,20.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
147,Riverbend Stake Centre,Riverbend Stake,Route 50,75,2.0,1.0,205.0,34.0,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
148,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 3,45,2.0,0.0,235.0,21.0,1.0,Connors Hill Ward,2024,53.5302,-113.4683
149,Bearspaw Chapel,Gateway Stake,Route 162,75,1.0,4.0,166.0,32.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
150,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 1,45,2.0,0.0,225.0,30.0,1.0,Forest Heights Ward,2024,53.544537,-113.45125
151,Londonberry Chapel,Bonnie Doon Stake,Route 101,75,2.0,2.0,0.0,24.0,1.0,Clareview Ward,2024,53.5954,-113.4153
152,Bearspaw Chapel,Gateway Stake,Route 43,45,2.0,0.0,30.0,20.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
153,Gateway Stake Centre ,Gateway Stake,Route 10,75,2.0,0.0,239.0,24.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
154,Bearspaw Chapel,YSA Stake,Route Unknown,15,2.0,0.0,153.0,8.0,1.0,Whitemud Creek YSA Ward,2024,,
155,Bearspaw Chapel,Bonnie Doon Stake,Route 8,15,2.0,2.0,108.0,15.0,1.0,Southgate Ward,2024,53.4772,-113.5193
156,Bearspaw Chapel,Gateway Stake,Route 12,90,2.0,0.0,143.0,43.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
157,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 73,75,3.0,4.0,160.0,35.0,1.0,Forest Heights Ward,2024,53.544537,-113.45125
158,Bearspaw Chapel,Gateway Stake,Route 27,75,2.0,3.0,260.0,32.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
159,Londonberry Chapel,Bonnie Doon Stake,Route 212,75,2.0,2.0,110.0,30.0,1.0,Clareview Ward,2024,53.5954,-113.4153
160,Bearspaw Chapel,Bonnie Doon Stake,Route D4,90,2.0,0.0,123.0,15.0,1.0,Southgate Ward,2024,53.4772,-113.5193
161,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 64,75,2.0,4.0,225.0,22.0,1.0,Forest Heights Ward,2024,53.544537,-113.45125
162,Gateway Stake Centre ,Gateway Stake,Route 7,45,2.0,2.0,140.0,30.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
163,Bearspaw Chapel,Gateway Stake,Route 54,45,1.0,1.0,145.0,26.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
164,Bearspaw Chapel,Gateway Stake,Route 4,75,2.0,0.0,210.0,18.0,1.0,Blackmud Creek Ward,2024,53.419661,-113.510788
165,Londonberry Chapel,Bonnie Doon Stake,Route 154,15,2.0,1.0,60.0,16.0,1.0,Clareview Ward,2024,53.5954,-113.4153
166,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 8,45,2.0,1.0,150.0,22.0,1.0,Forest Heights Ward,2024,53.544537,-113.45125
167,Londonberry Chapel,Bonnie Doon Stake,Route 129,15,2.0,0.0,9.0,9.0,1.0,Clareview Ward,2024,53.5954,-113.4153
168,Riverbend Stake Centre,Riverbend Stake,Route 7,45,2.0,0.0,167.0,25.0,1.0,Woodbend Ward,2024,53.4747,-113.6399
170,Riverbend Stake Centre,Riverbend Stake,Route 55,75,2.0,0.0,174.0,17.0,1.0,Rutherford Ward,2024,53.416765,-113.529788
171,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 1,45,2.0,0.0,212.0,16.0,1.0,Connors Hill Ward,2024,53.5302,-113.4683
172,Gateway Stake Centre ,Gateway Stake,Route 20,75,2.0,0.0,150.0,20.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
173,Riverbend Stake Centre,Riverbend Stake,Route 39,15,2.0,3.0,195.0,16.0,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
174,Riverbend Stake Centre,Riverbend Stake,Route Unknown,15,2.0,2.0,100.0,9.0,1.0,Rutherford Ward,2024,53.416765,-113.529788
175,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route 7,45,2.0,0.0,147.0,23.0,1.0,Southgate Ward,2024,53.4772,-113.5193
176,Londonberry Chapel,Bonnie Doon Stake,Route 10,15,1.0,2.0,6.0,7.0,1.0,Londonderry Ward,2024,53.5894,-113.4591
177,Gateway Stake Centre ,Gateway Stake,Route 18,45,2.0,3.0,131.0,25.0,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
178,Riverbend Stake Centre,Riverbend Stake,Route 47,15,2.0,2.0,172.0,16.0,1.0,Rutherford Ward,2024,53.416765,-113.529788
179,Gateway Stake Centre ,Gateway Stake,Route 18,75,2.0,0.0,236.0,40.0,1.0,Ellerslie Ward,2024,53.428545,-113.457731
180,Bearspaw Chapel,Gateway Stake,Route 9,15,1.0,4.0,19.0,22.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
181,Riverbend Stake Centre,Riverbend Stake,Route 2,45,2.0,4.0,120.0,16.0,1.0,Greenfield Ward,2024,53.471073,-113.527505
182,Gateway Stake Centre ,Gateway Stake,Route 6,75,5.0,2.0,27.0,31.0,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
