,Drop Off Location,Stake,Route Information,Time Spent,Total Adult Volunteers,Total Youth Volunteers,Number of Doors,Number of Donation Bags,Number of Routes,Ward,Year,Latitude,Longitude
558,Gateway Stake Centre ,Gateway Stake,Route 15,45,3.0,4.0,68.66666667,10.66666667,1.0,Silver Berry Ward,2024,53.461159,-113.381406
559,Gateway Stake Centre ,Gateway Stake,Route 15,45,3.0,4.0,67.33333333,9.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
560,Gateway Stake Centre ,Gateway Stake,Route 13,45,3.0,4.0,67.33333333,9.0,1.0,Silver Berry Ward,2024,53.461159,-113.381406
561,Riverbend Stake Centre,Riverbend Stake,Route 30,15,3.0,2.0,166.6666667,21.66666667,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
562,Riverbend Stake Centre,Riverbend Stake,Route 28,15,3.0,2.0,166.6666667,21.66666667,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
563,Riverbend Stake Centre,Riverbend Stake,Route 43,15,3.0,2.0,166.6666667,21.66666667,1.0,Rabbit Hill Ward,2024,53.4256,-113.5464
564,Bearspaw Chapel,Gateway Stake,Route 38,15,2.0,4.0,42.25,4.5,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
565,Bearspaw Chapel,Gateway Stake,Route 34,15,2.0,4.0,42.25,4.5,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
566,Bearspaw Chapel,Gateway Stake,Route 33,15,2.0,4.0,42.25,4.5,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
567,Bearspaw Chapel,Gateway Stake,Route 37,15,2.0,4.0,42.25,4.5,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
568,Bearspaw Chapel,Gateway Stake,Route 38,15,4.0,4.0,41.25,5.75,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
569,Bearspaw Chapel,Gateway Stake,Route 34,15,4.0,4.0,41.25,5.75,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
570,Bearspaw Chapel,Gateway Stake,Route 33,15,4.0,4.0,41.25,5.75,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
571,Bearspaw Chapel,Gateway Stake,Route 37,15,4.0,4.0,41.25,5.75,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
572,Bearspaw Chapel,Gateway Stake,Route 34,15,4.0,4.0,55.33333333,3.333333333,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
573,Bearspaw Chapel,Gateway Stake,Route 33,15,4.0,4.0,55.33333333,3.333333333,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
574,Bearspaw Chapel,Gateway Stake,Route 38,15,4.0,4.0,55.33333333,3.333333333,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
575,Bearspaw Chapel,Gateway Stake,Route 37,15,2.0,4.0,54.33333333,5.666666667,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
576,Bearspaw Chapel,Gateway Stake,Route 33,15,2.0,4.0,54.33333333,5.666666667,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
577,Bearspaw Chapel,Gateway Stake,Route 34,15,2.0,4.0,54.33333333,5.666666667,1.0,Lee Ridge Ward,2024,53.469593,-113.444355
578,Edmonton North Stake Centre,Edmonton North Stake,Route A,15,2.0,0.0,200.0,14.25,1.0,Griesbach Ward,2024,53.606808,-113.504229
579,Edmonton North Stake Centre,Edmonton North Stake,Route B,15,2.0,0.0,200.0,14.25,1.0,Griesbach Ward,2024,53.606808,-113.504229
580,Edmonton North Stake Centre,Edmonton North Stake,Route C,15,2.0,0.0,200.0,14.25,1.0,Griesbach Ward,2024,53.606808,-113.504229
581,Edmonton North Stake Centre,Edmonton North Stake,Route D,15,2.0,0.0,200.0,14.25,1.0,Griesbach Ward,2024,53.606808,-113.504229
582,Gateway Stake Centre ,Gateway Stake,Route 81,15,2.0,4.0,146.0,12.8,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
583,Gateway Stake Centre ,Gateway Stake,Route 82,15,2.0,4.0,146.0,12.8,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
584,Gateway Stake Centre ,Gateway Stake,Route 83,15,2.0,4.0,146.0,12.8,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
585,Gateway Stake Centre ,Gateway Stake,Route 84,15,2.0,4.0,146.0,12.8,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
586,Gateway Stake Centre ,Gateway Stake,Route 85,15,2.0,4.0,146.0,12.8,1.0,Crawford Plains Ward,2024,53.441837,-113.406216
587,Bearspaw Chapel,Bonnie Doon Stake,Route AD5,15,3.0,0.0,93.75,14.5,1.0,Southgate Ward,2024,53.4772,-113.5193
588,Bearspaw Chapel,Bonnie Doon Stake,Route AD11,15,3.0,0.0,93.75,14.5,1.0,Southgate Ward,2024,53.4772,-113.5193
589,Bearspaw Chapel,Bonnie Doon Stake,Route AD12,15,3.0,0.0,93.75,14.5,1.0,Southgate Ward,2024,53.4772,-113.5193
590,Bearspaw Chapel,Bonnie Doon Stake,Route AD7,15,3.0,0.0,93.75,14.5,1.0,Southgate Ward,2024,53.4772,-113.5193
591,Edmonton North Stake Centre,Edmonton North Stake,Route 5,15,5.0,10.0,200.0,11.2,1.0,Namao Ward,2024,53.7242,-113.4799
592,Edmonton North Stake Centre,Edmonton North Stake,Route 2,15,5.0,10.0,200.0,11.2,1.0,Namao Ward,2024,53.7242,-113.4799
593,Edmonton North Stake Centre,Edmonton North Stake,Route 4,15,5.0,10.0,200.0,11.2,1.0,Namao Ward,2024,53.7242,-113.4799
594,Edmonton North Stake Centre,Edmonton North Stake,Route B,15,2.0,0.0,190.0,26.6,1.0,Griesbach Ward,2024,53.606808,-113.504229
595,Edmonton North Stake Centre,Edmonton North Stake,Route C,15,2.0,0.0,190.0,26.6,1.0,Griesbach Ward,2024,53.606808,-113.504229
596,Edmonton North Stake Centre,Edmonton North Stake,Route D,15,2.0,0.0,190.0,26.6,1.0,Griesbach Ward,2024,53.606808,-113.504229
597,Edmonton North Stake Centre,Edmonton North Stake,Route E,15,2.0,0.0,190.0,26.6,1.0,Griesbach Ward,2024,53.606808,-113.504229
598,Edmonton North Stake Centre,Edmonton North Stake,Route F,15,2.0,0.0,190.0,26.6,1.0,Griesbach Ward,2024,53.606808,-113.504229
599,Riverbend Stake Centre,Riverbend Stake,Route 1,15,3.0,0.0,206.0,20.0,1.0,Terwillegar Park Ward,2024,53.4662,-113.5835
602,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,25,1.0,3.0,14.0,14.0,2.0,Clareview Ward,2023,53.5954,-113.4153
603,Gateway Stake Centre,Gateway Stake,Route Unknown,30,3.0,1.0,144.0,18.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
604,Gateway Stake Centre,Gateway Stake,Route Unknown,30,2.0,0.0,186.0,20.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
605,Gateway Stake Centre,Gateway Stake,Route Unknown,30,2.0,0.0,195.0,20.0,1.0,Crawford Plains Ward,2023,53.441837,-113.406216
606,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,1.0,0.0,1.0,2.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
607,Bearspaw Chapel,Gateway Stake,Route Unknown,20,2.0,0.0,179.0,20.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
608,Gateway Stake Centre,Gateway Stake,Route Unknown,22,1.0,4.0,141.0,17.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
609,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,2.0,0.0,27.0,32.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
610,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,49,2.0,0.0,200.0,100.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
611,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,35,2.0,3.0,13.0,15.0,2.0,Southgate Ward,2023,53.4772,-113.5193
612,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,30,1.0,2.0,300.0,30.0,2.0,Connors Hill Ward,2023,53.5302,-113.4683
613,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,1.0,0.0,110.0,17.0,2.0,Clareview Ward,2023,53.5954,-113.4153
614,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,40,3.0,2.0,107.0,20.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
615,Coronation Park Chapel,Bonnie Doon Stake,Route Unknown,55,2.0,1.0,20.0,25.0,2.0,Coronation Park Ward,2023,53.5738,-113.5631
616,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,45,2.0,3.0,250.0,24.0,3.0,Clareview Ward,2023,53.5954,-113.4153
617,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,60,3.0,5.0,184.0,10.0,2.0,Connors Hill Ward,2023,53.5302,-113.4683
618,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,2.0,2.0,12.0,12.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
619,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,60,2.0,0.0,195.0,30.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
620,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,25,2.0,0.0,98.0,16.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
621,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,20,2.0,2.0,120.0,10.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
622,Coronation Park Chapel,Bonnie Doon Stake,Route Unknown,60,2.0,0.0,96.0,20.0,2.0,Coronation Park Ward,2023,53.5738,-113.5631
623,Gateway Stake Centre,Gateway Stake,Route Unknown,30,5.0,0.0,19.0,29.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
624,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,45,2.0,1.0,200.0,40.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
625,Coronation Park Chapel,Bonnie Doon Stake,Route Unknown,63,2.0,0.0,140.0,18.0,2.0,Coronation Park Ward,2023,53.5738,-113.5631
626,Gateway Stake Centre,Gateway Stake,Route Unknown,32,2.0,3.0,1.0,21.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
627,Bearspaw Chapel,Gateway Stake,Route Unknown,40,5.0,3.0,157.0,24.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
628,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,60,2.0,3.0,375.0,40.0,2.0,Connors Hill Ward,2023,53.5302,-113.4683
629,Gateway Stake Centre,Gateway Stake,Route Unknown,740,3.0,0.0,250.0,35.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
630,Gateway Stake Centre,Gateway Stake,Route Unknown,25,2.0,0.0,116.0,15.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
631,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,30,2.0,0.0,115.0,30.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
632,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,1.0,1.0,15.0,36.0,2.0,Clareview Ward,2023,53.5954,-113.4153
633,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,35,2.0,0.0,110.0,16.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
634,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,38,2.0,2.0,90.0,15.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
635,North Stake Centre,Edmonton North Stake,Route Unknown,45,2.0,1.0,206.0,21.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
636,Gateway Stake Centre,Gateway Stake,Route Unknown,32,2.0,3.0,202.0,21.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
637,North Stake Centre,Edmonton North Stake,Route Unknown,45,1.0,1.0,206.0,23.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
638,Riverbend Stake Centre,Riverbend Stake,Route Unknown,50,2.0,0.0,172.0,30.0,2.0,Greenfield Ward,2023,53.471073,-113.527505
639,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,2.0,0.0,23.0,24.0,2.0,Clareview Ward,2023,53.5954,-113.4153
640,Coronation Park Chapel,Bonnie Doon Stake,Route Unknown,39,2.0,0.0,302.0,5.0,2.0,Coronation Park Ward,2023,53.5738,-113.5631
641,North Stake Centre,Edmonton North Stake,Route Unknown,60,2.0,3.0,107.0,29.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
642,Gateway Stake Centre,Gateway Stake,Route Unknown,20,1.0,0.0,100.0,20.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
643,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,2.0,1.0,182.0,17.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
644,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,51,3.0,0.0,200.0,15.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
645,North Stake Centre,Edmonton North Stake,Route Unknown,30,2.0,2.0,20.0,24.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
646,Gateway Stake Centre,Gateway Stake,Route Unknown,40,2.0,0.0,150.0,26.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
647,Gateway Stake Centre,Gateway Stake,Route Unknown,40,3.0,0.0,194.0,24.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
648,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,73,3.0,3.0,100.0,30.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
649,Gateway Stake Centre,Gateway Stake,Route Unknown,50,2.0,2.0,207.0,33.0,1.0,Ellerslie Ward,2023,53.428545,-113.457731
650,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,2.0,2.0,116.0,11.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
651,Bearspaw Chapel,Gateway Stake,Route Unknown,35,2.0,0.0,135.0,15.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
652,Gateway Stake Centre,Gateway Stake,Route Unknown,13,1.0,0.0,29.0,11.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
653,Riverbend Stake Centre,Riverbend Stake,Route Unknown,40,2.0,3.0,80.0,22.0,2.0,Rabbit Hill Ward,2023,53.4256,-113.5464
654,North Stake Centre,Edmonton North Stake,Route Unknown,100,2.0,0.0,160.0,23.0,2.0,Namao Ward,2023,53.7242,-113.4799
655,Gateway Stake Centre,Gateway Stake,Route Unknown,30,2.0,0.0,137.0,23.0,2.0,Wainwright Branch Ward,2023,52.8346,-110.8532
656,Gateway Stake Centre,Gateway Stake,Route Unknown,20,1.0,4.0,147.0,16.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
657,Riverbend Stake Centre,Riverbend Stake,Route Unknown,60,4.0,2.0,236.0,59.0,2.0,Rabbit Hill Ward,2023,53.4256,-113.5464
658,Gateway Stake Centre,Gateway Stake,Route Unknown,17,1.0,1.0,135.0,5.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
659,North Stake Centre,Edmonton North Stake,Route Unknown,65,2.0,3.0,370.0,35.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
660,Riverbend Stake Centre,Riverbend Stake,Route Unknown,45,3.0,2.0,100.0,25.0,2.0,Woodbend Ward,2023,53.4747,-113.6399
661,Gateway Stake Centre,Gateway Stake,Route Unknown,40,2.0,0.0,115.0,15.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
662,North Stake Centre,Edmonton North Stake,Route Unknown,50,2.0,2.0,200.0,16.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
663,Gateway Stake Centre,Gateway Stake,Route Unknown,30,2.0,0.0,198.0,20.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
664,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,60,2.0,0.0,235.0,25.0,2.0,Connors Hill Ward,2023,53.5302,-113.4683
665,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,40,2.0,0.0,100.0,20.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
666,Gateway Stake Centre,Gateway Stake,Route Unknown,50,2.0,1.0,191.0,22.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
667,North Stake Centre,Edmonton North Stake,Route Unknown,20,2.0,0.0,100.0,9.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
668,Gateway Stake Centre,Gateway Stake,Route Unknown,57,2.0,0.0,27.0,31.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
669,Gateway Stake Centre,Gateway Stake,Route Unknown,50,4.0,0.0,168.0,26.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
670,North Stake Centre,Edmonton North Stake,Route Unknown,60,1.0,4.0,392.0,42.0,2.0,Namao Ward,2023,53.7242,-113.4799
671,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,56,2.0,3.0,100.0,18.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
672,Gateway Stake Centre,Gateway Stake,Route Unknown,50,2.0,3.0,317.0,21.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
673,Riverbend Stake Centre,Riverbend Stake,Route Unknown,80,3.0,0.0,212.0,54.0,2.0,Greenfield Ward,2023,53.471073,-113.527505
674,Gateway Stake Centre,Gateway Stake,Route Unknown,33,1.0,2.0,261.0,11.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
676,Coronation Park Chapel,Edmonton North Stake,Route Unknown,69,1.0,2.0,453.0,31.0,2.0,Stony Plain Ward,2023,53.5286,-114.0103
677,Gateway Stake Centre,Gateway Stake,Route Unknown,40,2.0,0.0,23.0,27.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
678,Gateway Stake Centre,Gateway Stake,Route Unknown,25,2.0,0.0,110.0,12.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
679,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,2.0,0.0,32.0,34.0,2.0,Clareview Ward,2023,53.5954,-113.4153
680,Bearspaw Chapel,Gateway Stake,Route Unknown,30,2.0,3.0,144.0,37.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
681,Gateway Stake Centre,Gateway Stake,Route Unknown,35,2.0,0.0,220.0,26.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
682,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,2.0,0.0,195.0,9.0,2.0,Clareview Ward,2023,53.5954,-113.4153
683,Gateway Stake Centre,Gateway Stake,Route Unknown,15,2.0,0.0,165.0,11.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
684,Bearspaw Chapel,Gateway Stake,Route Unknown,60,1.0,7.0,315.0,6.0,2.0,Wild Rose Ward,2023,53.470564,-113.381167
685,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,55,2.0,2.0,300.0,43.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
686,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,57,2.0,1.0,250.0,35.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
687,Bearspaw Chapel,Gateway Stake,Route Unknown,60,2.0,0.0,162.0,8.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
688,Coronation Park Chapel,Bonnie Doon Stake,Route Unknown,30,1.0,1.0,300.0,38.0,2.0,Coronation Park Ward,2023,53.5738,-113.5631
689,Riverbend Stake Centre,Riverbend Stake,Route Unknown,30,1.0,3.0,10.0,10.0,2.0,Woodbend Ward,2023,53.4747,-113.6399
690,Gateway Stake Centre,Gateway Stake,Route Unknown,50,2.0,3.0,219.0,20.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
691,Riverbend Stake Centre,Riverbend Stake,Route Unknown,90,3.0,0.0,250.0,60.0,2.0,Terwillegar Park Ward,2023,53.4662,-113.5835
692,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,1.0,2.0,150.0,6.0,2.0,Clareview Ward,2023,53.5954,-113.4153
693,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,75,2.0,0.0,300.0,45.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
694,Gateway Stake Centre,Gateway Stake,Route Unknown,50,2.0,0.0,167.0,24.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
695,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,60,2.0,3.0,180.0,35.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
696,Bearspaw Chapel,Bonnie Doon Stake,Route Unknown,89,2.0,0.0,95.0,20.0,2.0,Southgate Ward,2023,53.4772,-113.5193
697,Gateway Stake Centre,Gateway Stake,Route Unknown,60,7.0,7.0,219.0,46.0,2.0,Rio Vista Ward,2023,53.4344,-113.5733
698,Gateway Stake Centre,Gateway Stake,Route Unknown,55,1.0,1.0,236.0,15.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
699,Riverbend Stake Centre,Riverbend Stake,Route Unknown,45,2.0,0.0,13.0,20.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
700,Bearspaw Chapel,Gateway Stake,Route Unknown,45,46.0,0.0,15.0,15.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
701,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,35,2.0,2.0,198.0,19.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
702,Coronation Park Chapel,Edmonton North Stake,Route Unknown,30,1.0,0.0,155.0,30.0,2.0,Stony Plain Ward,2023,53.5286,-114.0103
703,Gateway Stake Centre,Gateway Stake,Route Unknown,67,2.0,0.0,134.0,35.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
704,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,2.0,0.0,195.0,4.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
705,North Stake Centre,Edmonton North Stake,Route Unknown,50,2.0,4.0,203.0,23.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
706,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,63,2.0,0.0,180.0,12.0,2.0,Clareview Ward,2023,53.5954,-113.4153
707,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,30,1.0,3.0,7.0,7.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
708,Riverbend Stake Centre,Riverbend Stake,Route Unknown,65,2.0,0.0,20.0,40.0,2.0,Greenfield Ward,2023,53.471073,-113.527505
709,Coronation Park Chapel,Bonnie Doon Stake,Route Unknown,81,2.0,2.0,63.0,72.0,3.0,Coronation Park Ward,2023,53.5738,-113.5631
710,North Stake Centre,Edmonton North Stake,Route Unknown,45,1.0,2.0,150.0,22.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
711,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,44,3.0,1.0,160.0,40.0,2.0,Connors Hill Ward,2023,53.5302,-113.4683
712,Gateway Stake Centre,Gateway Stake,Route Unknown,60,2.0,3.0,199.0,20.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
713,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,45,1.0,0.0,130.0,33.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
714,Riverbend Stake Centre,Riverbend Stake,Route Unknown,40,1.0,2.0,14.0,18.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
715,Gateway Stake Centre,Gateway Stake,Route Unknown,40,2.0,0.0,170.0,17.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
716,Riverbend Stake Centre,Riverbend Stake,Route Unknown,40,2.0,1.0,12.0,12.0,2.0,Rutherford Ward,2023,53.416765,-113.529788
717,North Stake Centre,Edmonton North Stake,Route Unknown,60,3.0,0.0,13.0,17.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
718,Gateway Stake Centre,Gateway Stake,Route Unknown,54,2.0,0.0,520.0,32.0,4.0,Crawford Plains Ward,2023,53.441837,-113.406216
719,North Stake Centre,Edmonton North Stake,Route Unknown,95,2.0,0.0,175.0,12.0,2.0,Namao Ward,2023,53.7242,-113.4799
720,Riverbend Stake Centre,Riverbend Stake,Route Unknown,28,2.0,2.0,70.0,10.0,2.0,Rabbit Hill Ward,2023,53.4256,-113.5464
721,Riverbend Stake Centre,Riverbend Stake,Route Unknown,65,1.0,3.0,38.0,50.0,2.0,Terwillegar Park Ward,2023,53.4662,-113.5835
722,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,30,2.0,0.0,136.0,10.0,2.0,Connors Hill Ward,2023,53.5302,-113.4683
723,Riverbend Stake Centre,Riverbend Stake,Route Unknown,60,4.0,0.0,192.0,23.0,2.0,Greenfield Ward,2023,53.471073,-113.527505
724,North Stake Centre,Edmonton North Stake,Route Unknown,60,1.0,3.0,14.0,15.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
725,North Stake Centre,Edmonton North Stake,Route Unknown,40,1.0,3.0,90.0,7.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
726,Gateway Stake Centre,Gateway Stake,Route Unknown,30,1.0,0.0,135.0,16.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
727,Gateway Stake Centre,Gateway Stake,Route Unknown,35,1.0,2.0,203.0,28.0,2.0,Ellerslie Ward,2023,53.428545,-113.457731
728,Londonderry Chapel,Bonnie Doon Stake,Route Unknown,25,1.0,2.0,110.0,12.0,2.0,Londonderry Ward,2023,53.5894,-113.4591
729,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,60,2.0,0.0,249.0,25.0,2.0,Connors Hill Ward,2023,53.5302,-113.4683
730,Bearspaw Chapel,Gateway Stake,Route Unknown,70,19.0,2.0,158.0,15.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
731,Bearspaw Chapel,Gateway Stake,Route Unknown,42,7.0,0.0,170.0,17.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
732,Gateway Stake Centre,Gateway Stake,Route Unknown,20,2.0,2.0,138.0,9.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
733,Riverbend Stake Centre,Riverbend Stake,Route Unknown,15,4.0,1.0,80.0,15.0,2.0,Rabbit Hill Ward,2023,53.4256,-113.5464
734,Bearspaw Chapel,Gateway Stake,Route Unknown,47,3.0,3.0,165.0,55.0,2.0,Blackmud Creek Ward,2023,53.419661,-113.510788
735,Gateway Stake Centre,Gateway Stake,Route Unknown,40,3.0,2.0,256.0,30.0,2.0,Crawford Plains Ward,2023,53.441837,-113.406216
736,Gateway Stake Centre,Gateway Stake,Route Unknown,100,3.0,1.0,419.0,40.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
737,North Stake Centre,Edmonton North Stake,Route Unknown,50,2.0,2.0,106.0,15.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
738,Coronation Park Chapel,Bonnie Doon Stake,Route Unknown,74,2.0,2.0,144.0,35.0,2.0,Coronation Park Ward,2023,53.5738,-113.5631
739,Gateway Stake Centre,Gateway Stake,Route Unknown,60,2.0,1.0,11.0,11.0,2.0,Silver Berry Ward,2023,53.461159,-113.381406
740,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,40,2.0,0.0,125.0,16.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
741,Gateway Stake Centre,Gateway Stake,Route Unknown,35,1.0,2.0,173.0,32.0,2.0,Lee Ridge Ward,2023,53.469593,-113.444355
742,North Stake Centre,Edmonton North Stake,Route Unknown,55,2.0,0.0,90.0,18.0,2.0,Griesbach Ward,2023,53.606808,-113.504229
743,Bonnie Doon Stake Centre,Bonnie Doon Stake,Route Unknown,73,2.0,4.0,200.0,32.0,2.0,Forest Heights Ward,2023,53.544537,-113.45125
744,Coronation Park Chapel,Bonnie Doon Stake,Route Unknown,45,3.0,0.0,143.0,18.0,2.0,Coronation Park Ward,2023,53.5738,-113.5631
